product_id,address,price,area,bedrooms_num,bathrooms_num
40952448,"Phan Thiết, Bình Thuận",Giá thỏa thuận,160 m²,3,3
41966002,"Thủ Đức, Hồ Chí Minh","4,41 tỷ",84 m²,2,2
41870458,"Thanh Xuân, Hà Nội","10,5 tỷ",131 m²,3,2
42109613,"Hà Đông, Hà Nội",Giá thỏa thuận,180 m²,5,5
42109316,"Chương Mỹ, Hà Nội","1,65 tỷ",80 m²,0,0
40965507,"Hà Đông, Hà Nội","19,5 tỷ",120 m²,0,0
40544622,"Hà Đông, Hà Nội",18 tỷ,108 m²,0,0
41446748,"Tây Hồ, Hà Nội","7,5 tỷ",123 m²,3,2
42108962,"Bến Lức, Long An",5 tỷ,100 m²,3,3
42104333,"Bình Tân, Hồ Chí Minh","6,7 tỷ",60 m²,4,6
39611879,"Gia Lâm, Hà Nội","6,3 tỷ",100 m²,3,2
42104209,"Phan Thiết, Bình Thuận","4,3 tỷ",160 m²,3,2
42103958,"Cầu Giấy, Hà Nội",4 tỷ,60 m²,2,2
42089123,"Văn Giang, Hưng Yên","10,2 tỷ",80 m²,0,0
42077703,"Cư M'gar, Đắk Lắk","2,75 tỷ",13.000 m²,0,0
42077702,"Bảo Lộc, Lâm Đồng","3,84 tỷ",499 m²,0,0
42077672,"Thủ Đức, Hồ Chí Minh","2,54 tỷ",50 m²,1,1
41675792,"Cầu Giấy, Hà Nội",59 tỷ,140 m²,0,0
42103641,"Bình Tân, Hồ Chí Minh","5,3 tỷ",95 m²,3,2
39802773,"Cẩm Mỹ, Đồng Nai","27,5 tỷ","5.630,7 m²",0,0
42103340,"Hà Đông, Hà Nội","6,9 tỷ",143 m²,3,2
42102650,"Hà Đông, Hà Nội","15,7 tỷ",48 m²,5,0
41321325,"Hai Bà Trưng, Hà Nội","11,5 tỷ",125 m²,4,3
41703277,"Quận 9, Hồ Chí Minh","4,76 tỷ",79 m²,2,2
42102444,"Đống Đa, Hà Nội","4,5 tỷ","32,9 m²",2,0
